"date","project","chain","address","type","impl_address","ProxyContractName","ProxyCompilerVersion","patches","prevVersions","in_scope"
"12/12/2023","spool","etherscan.io","0xd8534197Bd587F8226d12E0C864ef2CaE6f82f5C","impl_proxy","0xe1e49b4cb738c8840a54d8b8958ce93c621965c8","DepositSwap","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xcebF2117a483EFf141c25bf8d365B9B81Af9112F","impl_proxy","0xbbfaadf87e4b5b09e429a8869f0941c95ecbcb12","ExponentialAllocationProvider","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xc65c1df280AC96535e56B0e7ac12fE0860b19411","impl_proxy","0x86e6c65d5f0c17b8ac744170a67b9f339f20690","GhostStrategy","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0xB8c204e858AA420eb5a57599dA86fFD6375da6a8","impl_proxy","0xca1dbe439ca99cc6b7c4ba63465db86a705bf098","GuardManager","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0x7DBadf3CC5C9C7177B6f976910eF84AD90E018a8","impl_proxy","0xc6c1bff889bd9feaba68d1fba8d7df505187f574","LinearAllocationProvider","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0xf5DcF1F6E4c661Cb28c27FfF88Adde3522Cfbe91","impl_proxy","0xa992dee722f46752d3b7d5f11f282f8e8f9ace3a","MasterWallet","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0xd8d2C1C3C7982272e3e12dEC5aF681433fdcf003","impl_proxy","0xaffad277a4aa24c92ebd6e263726466104eb3e58","RewardManager","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0xC30018cbee9C8141F620e950CC9637c7A2eF2c9e","impl_proxy","0x3d9fbcdd24197ebd4eaf40ae712c5b7139d75448","RiskManager","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0x23Daf34e2b9Af02A74dC19cB52Af727B19403874","impl_proxy","0x5c5293eabbc96a62788b4ca0d393042d4e931e81","SmartVaultManager","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0x7b533e72E0cDC63AacD8cDB926AC402b846Fbd13","impl_proxy","0x9d7f606968ce7fe8323531607435f8bebb2df41e","SpoolAccessControl","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0x8aa6174333F75421903b2B5c70DdF8DA5D84f74F","impl_proxy","0xd5d973374b7103541de1bc6f0b3af663e73b0eed","SpoolLens","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0x554c6bCB54656390aca0a0af38CA954dbE653F15","impl_proxy","0x5bba135fb6f76483c55d28c2f762f7082fee474e","StrategyRegistry","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0x33E52c206d584550193E642C8982f2Fff6339994","impl_proxy","0xaee55efd9e51a5d3a52d7099373cdd870c134d1a","Swapper","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0x6f519d997CD2027F164586718Ca248d2384D7dB1","impl_proxy","0x33636c487f53f95334bd8f49a4782a7b84bf2cae","UniformAllocationProvider","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0x38f1A78ad8956B45b48837657BD0884BA7AB485A","impl_proxy","0x8face55e98ea1afaa36dd55f3196195a4e61477e","UsdPriceFeedManager","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xC62AD2C374D6537E286a06F4d6301DA6cd9C6D0a","impl_proxy","0x74a0ee4111e586b048ee1b6286a4f78e7dafb63e","WithdrawalManager","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0x27f38719608422Af8a31509CBBB5fAcD582f6e1F","impl_proxy","0x3597f15739771b8e040c0cfac048752946b79e9d","AaveV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xc6C65c730D7CB5FA22903DBcCB64973be4Fd4629","impl_proxy","0x3597f15739771b8e040c0cfac048752946b79e9d","AaveV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xCfdEa0499D00f6ecae256F0FC9daCC837D48409e","impl_proxy","0x3597f15739771b8e040c0cfac048752946b79e9d","AaveV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0x013022c7ca735eF6ba55cd3eaccB4Ebb3be484e9","impl_proxy","0x6ab817bd92a1c3075d8f1ced160984ea4e5f8d89","CompoundV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xfC8610aE1D1cc5f30c932E9FF4ac37E3f1a6337d","impl_proxy","0x6ab817bd92a1c3075d8f1ced160984ea4e5f8d89","CompoundV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xac997F24Ef9f5fc2A3c050eA14d1d017db20a1d1","impl_proxy","0x6ab817bd92a1c3075d8f1ced160984ea4e5f8d89","CompoundV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0x93f0F12e368b06d7914255FBA5cA47821cd5908d","impl_proxy","0x63423e8358b3d00a780cce788ed4bccd50ed58b2","Convex3poolStrategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0x2cA41209c87D2a611059d85C62cc0F913068d301","impl_proxy","0xd049c7b5707021c39787438b95d65c9c7339ea04","ConvexAlusdStrategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0x6EB6251AF926016c60DE17aD976b9C1e2485e1F0","impl_proxy","0x520aedddd3fb45e49ce236df4c43b6a1a0cc061a","Curve3poolStrategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xfE6D982a773F4251dA4Ba04fc8fE7F2717413599","impl_proxy","0x7b2121d7d8699af6420941ae06834625ce650623","MorphoAaveV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xa51C0a9F2d688c8943F029feC00a3c9193aAdf81","impl_proxy","0x7b2121d7d8699af6420941ae06834625ce650623","MorphoAaveV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xd353b46208493F1515d5f5c67A86795cf509c598","impl_proxy","0x7b2121d7d8699af6420941ae06834625ce650623","MorphoAaveV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
